name	date
612_24	2007
612_26	2007
612_23	2007
612_25	2008
612_107	2011
2245N0058	2002
612_92	2002
2245N0059	2003
612_93	2003
2245N0060	2004
612_94	2005
612_95	2006
612_96	2006
612_97	2006
612_100	2007
612_98	2007
612_99	2007
612_101	2008
0864N0066	1998
0864N0067	1998
0864N0068	1998
0864N0069	1998
0864N0070	1998
0864N0071	1998
0864N0072	1998
0864N0073	2000
0864N0074	2000
0864N0075	2000
0864N0076	2000
0864N0077	2000
0864N0079	2000
0864N0080	2000
0864N0078	2000
0864N0062	2002
0864N0063	2002
0864N0064	2002
0864N0065	2002
0864N0082	2002
0864N0083	2002
0864N0084	2002
0864N0085	2002
0864N0086	2002
0864N0093	2002
0864N0081	2002
2245N0061	2004
2245N0062	2004
2245N0063	2004
2245N0064	2004
2245N0065	2004
2245N0066	2004
2245N0067	2004
2245N0068	2004
2245N0069	2004
2245N0070	2006
2245N0071	2006
2245N0072	2006
2245N0073	2006
2245N0074	2006
2245N0075	2006
2245N0076	2006
2245N0077	2006
2245N0078	2006
2245N0079	2008
2245N0080	2010
2245N0081	2010
2245N0082	2010
2245N0083	2010
2245N0084	2010
2245N0085	2010
2245N0086	2010
2245N0087	2010
2245N0088	2010
0864N0011	2000
0864N0028	2006
0864N0030	2006
0864N0014	2006
0864N0029	2006
0864N0031	2007
0864N0039	2007
0864N0032	2007
0864N0042	2008
0864N0043	2009
0864N0095	2010
ERR1040886	2012
ERR1040984	2011
ERR2059755	2014
SRR6938404	2014
