name	date	accession
04x15086	2004	ERR1535343
05x17686	2005	ERR1535344
703205	2007	ERR1535377
USFL002	2009	ERR134781
USFL040	2009	ERR134820
USFL060	2009	ERR134840
USFL254	2010	ERR134678
USFL335	2011	ERR134761
LFUU01	2013	LFUU00000000.1
LFUY01	2013	LFUY00000000.1
LFVA01	2013	LFVA00000000.1
LFVC01	2013	LFVC00000000.1
LFVE01	2013	LFVE00000000.1
LFVF01	2013	LFVF00000000.1
LFVG01	2013	LFVG00000000.1
LFVH01	2013	LFVH00000000.1
LFVJ01	2013	LFVJ00000000.1
LFVO01	2013	LFVO00000000.1
LFVP01	2013	LFVP00000000.1
M121	2006	PRJNA246311
CA12	2007	PRJNA246373
C123	2006	PRJNA247361
C1667	2007	PRJNA247376
E396	2006	PRJNA247380
C679	2006	PRJNA247391
C1058	2007	PRJNA247396
C186	2006	PRJNA247398
C329	2006	PRJNA247399
E404	2006	PRJNA247401
M109	2006	PRJNA247403
M120	2006	PRJNA247691
HUV03	2006	PRJNA247773
