name	date	type
2824-16	2011	MRSA
94880	2007	MRSA
V0268	2009	MRSA
ST20101059	2007	MRSA
H1314	2013	MRSA
H1392	2013	MRSA
H1446	2013	MRSA
H1448	2013	MRSA
H1501	2013	MRSA
H1556	2014	MRSA
H1567	2014	MRSA
H1796	2014	MRSA
H1840	2014	MRSA
H1844	2014	MRSA
H1866	2015	MRSA
H1897	2015	MRSA
H1899	2015	MRSA
H1992	2015	MRSA
H2005	2015	MRSA
HL452	2013	MRSA
M2693	2012	MRSA
M3117	2013	MRSA
M3234	2013	MRSA
M3321	2013	MRSA
M3492	2014	MRSA
M3795	2014	MRSA
M3952	2014	MRSA
M4318	2015	MRSA
M4375	2015	MRSA
M4788	2016	MRSA
M5134	2016	MRSA
M5336	2016	MRSA
M5448	2016	MRSA
M5609	2017	MRSA
M5866	2017	MRSA
M613	2006	MRSA
M7200	2018	MRSA
M7673	2019	MRSA
RH259	2014	MRSA
015009334601	2014	MRSA
015109326301	2015	MRSA
016166569701	2016	MRSA
016245711501	2016	MRSA
017001546501	2016	MRSA
017017690701	2016	MRSA
017019204301	2015	MRSA
017043512201	2017	MRSA
018040093001	2018	MRSA
018082452001	2018	MRSA
295676	2016	MRSA
09V47486	2009	MRSA
101-13886	2017	MRSA
107-13780	2017	MRSA
10V31557	2010	MRSA
10V31910	2010	MRSA
115-307485	2016	MRSA
115-307486	2017	MRSA
116-309696	2017	MRSA
1185-va17619	2018	MRSA
126-13611	2017	MRSA
1274-9994	2014	MRSA
136-14786	2017	MRSA
14ANR571328	2014	MRSA
1537-8795	2013	MRSA
15ANR575662	2015	MRSA
173-14249	2017	MRSA
178-14147	2017	MRSA
1780-7809	2013	MRSA
1962-143711	2016	MRSA
199-13726	2017	MRSA
2080-va30671	2018	MRSA
2081-va31754	2018	MRSA
2102-12-3	2018	MRSA
2220-bk113128	2013	MRSA
2312-2618	2008	MRSA
2360-M2665	2015	MRSA
2391-va36146	2018	MRSA
2437-va46635	2019	MRSA
2483-va58579	2019	MRSA
2535-va65687	2019	MRSA
2546-va69252	2019	MRSA
2569-va79637	2019	MRSA
2584-va77930	2019	MRSA
2585-va78113	2019	MRSA
2588-va78336	2019	MRSA
2590-va78538	2019	MRSA
2618-7598	2012	MRSA
269b-12910	2016	MRSA
3012-9539	2011	MRSA
3254-9242	2010	MRSA
346-15123	2017	MRSA
362-12417	2016	MRSA
3701-va86355	2019	MRSA
3702-va86186	2019	MRSA
3715-va86359	2019	MRSA
3721-va88731	2019	MRSA
3734-va90114	2019	MRSA
3741-va91199	2019	MRSA
3746-va91377	2019	MRSA
3779-va97163	2019	MRSA
3781-va96685	2019	MRSA
3784-va96242	2019	MRSA
3785-va97163	2019	MRSA
3788-va97658	2019	MRSA
3801-va00847	2019	MRSA
434-11885	2016	MRSA
471-13107	2016	MRSA
508-12450	2016	MRSA
51-14412	2017	MRSA
510-12406	2016	MRSA
527-11905	2016	MRSA
569-va76496	2018	MRSA
581-va78618	2018	MRSA
643-va93692	2018	MRSA
694-va04864	2018	MRSA
708-11732	2015	MRSA
771-11373	2015	MRSA
824-11139	2015	MRSA
88-13990	2017	MRSA
Z4192	2013	MRSA
M07-0506	2007	MRSA
M08-0019	2008	MRSA
M12-0222	2012	MRSA
M12-0334	2012	MRSA
M12-0351	2012	MRSA
M13-0404	2013	MRSA
M14-0355	2014	MRSA
M14-0467	2014	MRSA
M14-0597	2014	MRSA
M14-0845	2014	MRSA
M14-0857	2014	MRSA
M15-0029	2013	MRSA
M15-0030	2014	MRSA
M15-0031	2014	MRSA
M15-0149	2015	MRSA
M15-0164	2015	MRSA
M15-0245	2015	MRSA
M15-0286	2015	MRSA
M15-0307	2015	MRSA
M15-0370	2015	MRSA
M15-0371	2015	MRSA
M15-0382	2015	MRSA
M15-0443	2015	MRSA
M16-0002	2015	MRSA
M16-0116	2016	MRSA
M16-0223	2016	MRSA
M16-0508	2016	MRSA
M17-0008	2016	MRSA
M17-0187	2017	MRSA
M17-0195	2017	MRSA
M17-0196	2017	MRSA
M17-0339	2017	MRSA
91-268226	2015	MRSA
Z2797	2011	MRSA
95033	2009	MRSA
95034	2009	MRSA
95035	2009	MRSA
95037	2009	MRSA
95038	2009	MRSA
95039	2009	MRSA
95040	2009	MRSA
95041	2009	MRSA
95042	2008	MRSA
95044	2008	MRSA
95047	2008	MRSA
95048	2008	MRSA
174736	2009	MRSA
174745	2008	MRSA
174748	2010	MRSA
174752	2010	MRSA
176040	2010	MRSA
176041	2010	MSSA
176047	2009	MRSA
176051	2010	MSSA
176057	2008	MRSA
176067	2011	MSSA
176076	2011	MSSA
176079	2012	MSSA
176084	2012	MSSA
177343	2012	MSSA
177358	2012	MRSA
177383	-	MRSA
179798	2010	MRSA
179799	2010	MSSA
179803	2009	MRSA
179810	2009	MSSA
179826	2010	MSSA
89-265094	2015	MRSA
105-289123	2013	MRSA
105-289124	2013	MRSA
