name	location	date	
HT20040078	alg	2001	
HT20040085	bel	2004	
Bel2009S080	bel	2008	
Sa-24329	den	1993	
Sa-1452	den	1994	
Sa-18929	den	1994	
Sa-19995	den	1995	
Sa-25884	den	1996
Sa-4250	den	1996
24292	den	1997	
24823	den	1997	
HT20040075	alg	2003	
1181997	den	1997	
2228	den	1998	
3584	den	1998	
5543	den	1998	
3859	den	1999	
4112	den	2000	
1960	den	2001	
2948	den	2001	
2949	den	2001	
3378	den	2001	
HT20040994	alg	2004	
904	den	2001	
344	den	2002	
2262	den	2003	
43207	den	2004	
43280	den	2004	
46635	den	2005	
53566	den	2006	
62188	den	2008	
62686	den	2008	
62821	den	2008	
ST20070635	alg	2006	
67913	den	2009	
IH254551	fin	2004	
LY19990053	fa	1999	
HT20020056	fa	2002	
HT20050508	fa	2005	
HT20060139	fa	2006	
HT20070258	fa	2007	
ST20081834	fa	2008	
PY063b	gab	2010	
PY100	gab	2010	
ST20070968	alg	2007	
PY104	gab	2010	
PY66	gab	2010	
HT20050143	ge	2005	
HT20050217	gr	2005	
ST20081231	gr	2008	
1871	kuw	2005	
2153	kuw	2005	
6482	kuw	2005	
743	kuw	2005	
752	kuw	2005	
ST20080210	alg	2007	
JS45	jo	2006	
JS60	jo	2006	
JS71	jo	2006	
JS82	jo	2006	
IMRs148311a	mal	2008	
IMRs149712a	mal	2008	
POL166509	pol	2009	
HT20030074	om	2003	
S212	se	2008	
HT20040411	slo	2004	
ST20080342	alg	2008	
ST20090075	spa	2008	
SA3608	swe	2004	
HT20020318	swi	2002	
HT20050163	swi	2005	
ST20071047	swi	2007	
ST20071277	tun	1999	
ST20071273	tun	2001	
ST20071201	tun	2004	
ST20071176	tun	2005	
ST20070075	tun	2007	
ST20090942	alg	2008	
24422	tun	2006	
4931	tun	2006	
ST20070737	alg	2007	
HT20020042	fa	2002	
HT20030006	fa	2003	
HT20050263	fa	2005	
HT20050326	fa	2005	
HT20050327	fa	2005	
HT20060002	fa	2005	
HT20050374	fa	2005	
ST20092006	alg	2009	
HT20060371	tun	2006	
HT20060859	fa	2006	
ST20071479	fa	2007	
2578	nig	2010	
HT20041302	tog	2004	
RKI155	uga	2007	
RKI158	uga	2007	
RKI160	uga	2007	
100	Bangladesh	2008
101	Denmark	2008
102	Denmark	2009
103	Denmark	2009
104	Denmark	2011
105	Denmark	2013
106	Denmark	2014
107	Denmark	2014
108	Denmark	2015
109	Denmark	2015
110	Denmark	2011
111	Denmark	2013
112	Denmark	2013
113	Denmark	2013
114	Denmark	2013
115	Denmark	2013
116	Denmark	2013
117	Denmark	2013
118	Denmark	2013
119	Denmark	2013
120	Denmark	2014
121	Denmark	2014
122	Denmark	2014
123	Denmark	2014
124	Denmark	2014
125	Denmark	2014
126	Denmark	2014
127	Denmark	2014
128	Denmark	2014
129	Denmark	2014
130	Denmark	2015
131	Denmark	2015
132	Denmark	2015
133	Denmark	2015
134	Denmark	2015
135	Denmark	2015
136	Denmark	2015
137	Denmark	2015
138	Denmark	2013
139	Denmark	2013
140	Denmark	2005
141	Denmark	2005
142	Denmark	2008
143	Denmark	2013
144	Denmark	2013
145	Denmark	2013
146	Denmark	2013
147	Denmark	2013
148	Denmark	2013
149	Denmark	2013
150	Denmark	2013
151	Denmark	2013
152	Denmark	2013
153	Denmark	2013
154	Denmark	2013
155	Denmark	2013
156	Denmark	2013
157	Denmark	2013
158	Denmark	2013
159	Denmark	2013
160	Denmark	2013
161	Denmark	2013
162	Denmark	2013
163	Denmark	2013
164	Denmark	2011
165	Denmark	2014
166	Denmark	2014
167	Denmark	2014
168	Denmark	2014
169	Denmark	2014
170	Denmark	2014
171	Denmark	2014
172	Denmark	2014
173	Denmark	2014
174	Denmark	2014
175	Denmark	2014
176	Denmark	2014
177	Denmark	2014
178	Denmark	2014
179	Denmark	2014
180	Denmark	2015
181	Denmark	2015
182	Denmark	2015
183	Denmark	2015
184	Denmark	2015
185	Denmark	2015
186	Denmark	2015
187	Denmark	2015
188	Denmark	2015
189	Denmark	2015
190	Denmark	2015
191	Denmark	2015
192	Denmark	2015
193	Denmark	2015
194	Denmark	2015
195	Denmark	2015
196	Denmark	2015
197	Denmark	2015
198	Denmark	2015
199	Denmark	2015
200	Denmark	2015
201	Denmark	2015
202	Denmark	2015
203	Denmark	2015
204	Denmark	2015
205	Denmark	2015
206	Denmark	2015
207	Denmark	2015
208	Denmark	2015
209	Denmark	2015
210	Denmark	2015
211	Denmark	2012
212	Denmark	2015
213	Denmark	2015
214	Denmark	2015
215	Denmark	2013
216	Denmark	2014
217	Denmark	2014
98	Bangladesh	2008
99	Bangladesh	2008
