name	date	accession
04x15086	2004	ERR1535343
05x17686	2005	ERR1535344
05x18180	2005	ERR1535345
06x15950	2006	ERR1535346
06x17364	2006	ERR1535347
06x17519	2006	ERR1535348
2146v3	2010	ERR1535350
2189v2	2009	ERR1535351
2402v3	2011	ERR1535353
3464	2011	ERR1535358
400241	2004	ERR1535359
501081	2005	ERR1535360
501825	2005	ERR1535361
502040	2005	ERR1535362
601172	2006	ERR1535364, ERR1535365
601852	2006	ERR1535368
700211	2007	ERR1535372
703205	2007	ERR1535377
7437v2	2011	ERR1535378
FSxL117	2011	ERR1535383
FSxL124	2011	ERR1535384
FSxL173	2012	ERR1535385
ISIT1400	2005	ERR1535393
PSA130	2005	ERR1535411, ERR1535412
SAHIV315	2013	ERR1535427
ST20081223	2007	ERR1535429
500511	2005	ERR1588667
TT158	2012	ERR1589241
TT165	2012	ERR1589242
TT227	2012	ERR1589246
TT263	2012	ERR1589249
TT266	2012	ERR1589250
TT284	2012	ERR1589253
TT369	2012	ERR1589256
TT374	2012	ERR1589257
USFL002	2009	ERR134781
USFL011	2009	ERR134790
USFL012	2009	ERR134791
USFL021	2009	ERR134801
USFL040	2009	ERR134820
USFL047	2009	ERR134827
USFL060	2009	ERR134840
USFL078	2009	ERR134859
USFL079	2009	ERR134860
USFL092	2009	ERR134873
USFL101	2009	ERR137912
USFL191	2010	ERR134614
USFL214	2010	ERR134638
USFL218	2010	ERR134642
USFL221	2010	ERR134645
USFL225	2010	ERR134649
USFL254	2010	ERR134678
USFL273	2010	ERR134698
USFL312	2011	ERR134738
USFL325	2010	ERR134751
USFL335	2011	ERR134761
LFUU01	2013	LFUU00000000.1
LFUW01	2013	LFUW00000000.1
LFUX01	2013	LFUX00000000.1
LFUY01	2013	LFUY00000000.1
LFUZ01	2013	LFUZ00000000.1
LFVA01	2013	LFVA00000000.1
LFVB01	2013	LFVB00000000.1
LFVC01	2013	LFVC00000000.1
LFVD01	2013	LFVD00000000.1
LFVE01	2013	LFVE00000000.1
LFVF01	2013	LFVF00000000.1
LFVG01	2013	LFVG00000000.1
LFVH01	2013	LFVH00000000.1
LFVI01	2013	LFVI00000000.1
LFVJ01	2013	LFVJ00000000.1
LFVL01	2013	LFVL00000000.1
LFVM01	2013	LFVM00000000.1
LFVN01	2013	LFVN00000000.1
LFVO01	2013	LFVO00000000.1
LFVP01	2013	LFVP00000000.1
LFVQ01	2003	LFVQ00000000.1
M121	2006	PRJNA246311
CA12	2007	PRJNA246373
CA15	2007	PRJNA246386
HUV05	2006	PRJNA246401
C123	2006	PRJNA247361
C1667	2007	PRJNA247376
E396	2006	PRJNA247380
C679	2006	PRJNA247391
C1058	2007	PRJNA247396
C186	2006	PRJNA247398
C329	2006	PRJNA247399
E404	2006	PRJNA247401
M109	2006	PRJNA247403
M120	2006	PRJNA247691
HUV03	2006	PRJNA247773
C2403	2010	PRJNA248081
C1407	2009	PRJNA248085
C1440	2009	PRJNA248096
C1378	2009	PRJNA248097
C1979	2009	PRJNA248138
C1762	2009	PRJNA248140
C2191	2009	PRJNA248187
C1396	2009	PRJNA248192
C1427	2009	PRJNA248193
C2304	2009	PRJNA248198
C1543	2009	PRJNA248199
C2485	2010	PRJNA248203
C1504	2009	PRJNA248206
PE009	2011	PRJNA248210
99-06	1999	PRJNA248216
C1782	2009	PRJNA248217
C1410	2009	PRJNA248227
99-48	1999	PRJNA248228
C1768	2009	PRJNA248229
C1555	2009	PRJNA248233
