name	date
PNG-1	2012
PNG-2	2012
PNG-3	2012
PNG-7	2012
PNG-8	2012
PNG-10	-
PNG-11	2012
PNG-12	2012
PNG-13	2012
PNG-14	2012
PNG-15	2012
PNG-16	2012
PNG-17	2012
PNG-18	2012
PNG-19	2012
PNG-20	2012
PNG-24	2017
PNG-25	2012
PNG-26	2012
PNG-27	2017
PNG-28	2017
PNG-29	2017
PNG-32	2012
PNG-33	-
PNG-34	2017
PNG-40	2012
PNG-46	2017
PNG-47	2017
PNG-48	2017
PNG-49	2017
PNG-51	2017
PNG-52	2017
PNG-53	2017
PNG-54	2017
PNG-55	2017
PNG-56	2017
PNG-57	2017
PNG-58	2017
PNG-59	2018
PNG-60	2018
PNG-61	2018
PNG-62	2018
PNG-63	2018
PNG-64	2018
PNG-65	2018
PNG-66	2018
PNG-67	2018
PNG-69	2018
PNG-70	2018
PNG-71	2018
PNG-72	2018
PNG-74	2013
PNG-76	2017
PNG-81	2018
PNG-82	2018
ERR182468	2008
ERR278834	2011
SRR1157481	2000
ERR314288	2008
ERR182483	2009
ERR221750	2010
SRR1157478	2000
SRR1157506	2008
SRR1157508	2008
ERR182394	2010
SRR1157503	2008
ERR182382	2010
ERR182385	2010
ERR182389	2010
ERR182391	2010
ERR182393	2010
ERR182395	2010
ERR182396	2010
ERR221774	2006
ERR221776	2006
ERR221777	2007
ERR182462	2007
SRR1157511	2008
SRR1157512	2008
ERR182492	2010
ERR182495	2011
ERR182503	2011
ERR182502	2011
ERR182490	2010
SRR1157502	2008
ERR221755	2010
ERR221751	2010
ERR221748	2009
ERR221740	2007
ERR221744	2008
ERR294628	2011
ERR221742	2008
ERR221743	2008
ERR192176	2006
ERR192181	2006
ERR192188	2006
ERR192204	2007
ERR192195	2007
SRR1157479	2000
SRR1157482	2000
SRR1157510	2008
ERR192205	2007
ERR182428	2009
ERR192186	2006
ERR182453	2006
ERR192209	2007
ERR182370	2009
ERR182454	2006
ERR221733	2010
ERR221735	2011
ERR182515	2010
ERR221736	2011
ERR182522	2010
ERR182523	2010
ERR182369	2008
ERR182518	2010
ERR182455	2006
ERR182456	2006
ERR192210	2007
SRR1157489	2006
ERR192164	2006
ERR182457	2006
ERR192153	2006
ERR192178	2006
ERR192179	2006
ERR192196	2007
ERR182439	2006
ERR192160	2006
ERR294624	2011
ERR294631	2011
ERR182504	2011
ERR182378	2010
SRR1157491	2007
ERR192162	2006
ERR192193	2007
ERR182445	2006
ERR182443	2006
ERR182458	2006
ERR192155	2006
ERR294627	2011
ERR294642	2011
ERR294643	2011
ERR182519	2010
ERR192201	2007
ERR182418	2007
SRR1157498	2008
ERR192192	2007
ERR192211	2007
ERR221721	2008
ERR221722	2008
ERR182379	2010
ERR182516	2010
ERR182442	2006
ERR192180	2006
ERR192189	2007
ERR192159	2006
ERR192175	2006
ERR192203	2007
ERR182400	2004
ERR192163	2006
ERR182441	2006
ERR294626	2011
ERR294633	2011
ERR294637	2011
ERR182478	2009
ERR192173	2006
ERR192174	2006
ERR192190	2007
ERR311163	2004
ERR311168	2004
ERR182486	2010
SRR1157495	2008
ERR278852	2012
ERR221730	2011
ERR182510	2008
ERR311166	2004
ERR182499	2011
SRR1157521	2007
ERR294636	2011
ERR294641	2011
ERR278848	2012
ERR221719	2007
ERR221720	2007
ERR294640	2011
SRR1157494	2008
ERR182472	2008
ERR221725	2009
SRR1157488	2006
ERR278839	2011
ERR311165	2004
ERR314287	2008
ERR314285	2008
ERR278840	2011
ERR278864	2012
ERR311164	2004
ERR311169	2004
SRR1157497	2008
ERR294638	2011
SRR488827	2009
ERR221734	2011
SRR1157480	2000
ERR182380	2010
ERR294644	2011
ERR221761	2010
ERR221762	2010
ERR221754	2010
ERR221747	2009
ERR221724	2009
ERR182464	2007
ERR221718	2002
ERR221723	2009
SRR1157486	2006
ERR294639	2011
ERR221775	2006
ERR182463	2007
ERR182465	2007
ERR182372	2009
ERR182417	2007
ERR192206	2007
ERR182529	2011
ERR278880	2012
ERR192199	2007
ERR182448	2006
ERR192182	2006
ERR192185	2006
ERR192187	2006
ERR192207	2007
ERR192161	2006
ERR182419	2007
ERR192158	2006
SRR1157476	2000
ERR192183	2006
ERR221752	2010
SRR1157507	2008
SRR1157509	2008
SRR1157505	2005
SRR1157514	2009
SRR1157513	2009
SRR1157500	2008
ERR182508	2010
ERR182381	2010
ERR182392	2010
ERR294650	2011
ERR221745	2009
ERR221765	2011
ERR221766	2011
ERR221767	2012
ERR182485	2010
ERR192172	2006
SRR1157504	2003
ERR294625	2011
SRR1157490	2007
ERR182383	2010
ERR182387	2010
ERR314286	2008
ERR294634	2011
ERR294635	2011
ERR278873	2012
ERR182466	2008
ERR182473	2008
ERR182489	2010
ERR221746	2009
SRR1157487	2006
SRR1157496	2008
ERR192166	2006
ERR192194	2007
ERR314284	2008
ERR182475	2009
SRR1157515	2009
ERR221759	2010
ERR221739	2007
ERR182488	2010
ERR221772	2006
ERR182386	2010
ERR294632	2011
ERR294623	2011
ERR294646	2011
ERR221749	2009
ERR311167	2004
ERR182471	2008
ERR221763	2011
ERR294630	2011
ERR294649	2011
ERR192197	2007
ERR294651	2011
ERR221728	2010
ERR182479	2009
ERR182487	2010
ERR182494	2010
ERR182505	2011
ERR221741	2008
ERR182476	2009
ERR182388	2010
ERR182477	2009
ERR221768	2012
ERR182480	2009
ERR182484	2009
ERR182481	2009
SRR1157499	2008
ERR221757	2010
SRR1157493	2008
SRR1157492	2007
ERR311162	2004
ERR192154	2006
ERR294629	2011
ERR221770	2002
ERR294645	2011
ERR278862	2012
ERR278858	2012
ERR182532	2007
ERR182533	2007
SRR1157501	2008
ERR294647	2011
ERR182437	2006
ERR221756	2010
ERR221773	2006
SRR1157483	2000
ERR182491	2010
ERR182493	2010
ERR182497	2011
ERR182507	2011
ERR182501	2011
ERR182496	2011
ERR182500	2011
ERR182498	2011
ERR278872	2012
SRR488828	2005
ERR294648	2011
ERR182440	2006
SRR1157484	2000
SRR1157477	2000
ERR182384	2010
ERR182506	2011
FNQ-13	2019
FNQ-18	2019
FNQ-36	2019
FNQ-44	2019
FNQ-84	2019
