name	date
SRR488829	2008
SRR7156756	2011
ERR311155	2004
SRR1157520	2008
ERR182421	2008
ERR182451	2007
ERR182427	2009
ERR192241	2006
ERR192220	2006
ERR192216	2006
ERR192232	2006
ERR192236	2006
SRR1157516	2008
SRR1157519	2008
ERR182375	2009
ERR182366	2004
ERR182460	2006
ERR182416	2007
ERR182511	2009
ERR182430	2009
ERR182422	2008
ERR221727	2010
ERR192233	2006
ERR182398	2004
ERR182526	2010
ERR182401	2005
ERR182402	2005
ERR192225	2006
ERR182423	2008
ERR192244	2006
ERR182406	2005
ERR182407	2005
ERR192212	2006
SRR1157527	1996
ERR192248	2007
ERR182376	2009
SRR1157518	2008
ERR182408	2005
ERR182409	2005
ERR192240	2006
ERR182403	2005
ERR182512	2009
ERR182513	2009
ERR182514	2009
ERR182426	2009
ERR182420	2008
ERR182452	2007
ERR192243	2006
ERR182429	2009
ERR192239	2006
ERR182434	2007
ERR192246	2006
ERR192230	2006
ERR192237	2006
ERR192214	2006
SRR1157517	2008
SRR1157524	2003
SRR1157523	2003
ERR182360	2004
ERR182399	2004
ERR182425	2009
ERR192228	2006
ERR192247	2006
ERR192231	2006
ERR192223	2006
ERR182431	2007
ERR192245	2006
ERR182517	2010
ERR182415	2007
ERR192242	2006
ERR182363	2004
ERR192222	2006
ERR182361	2004
ERR182365	2004
ERR182364	2004
ERR182377	2009
ERR192219	2006
ERR192213	2006
ERR182362	2004
ERR192235	2006
ERR192238	2006
ERR182404	2005
ERR182405	2005
ERR182368	2005
ERR182424	2008
ERR182525	2010
ERR182433	2007
ERR192224	2006
ERR192234	2006
ERR182447	2007
ERR182397	2004
ERR182520	2010
ERR182521	2010
ERR192198	2007
ERR182359	2004
ERR192169	2006
ERR192170	2006
ERR192171	2006
ERR192156	2006
ERR192191	2007
ERR192208	2007
ERR192202	2007
ERR192157	2006
ERR192217	2006
ERR182435	2007
ERR192227	2006
ERR192229	2006
ERR182436	2007
ERR311160	2004
SRR1157526	1992
ERR182412	1991
ERR182413	1991
ERR182411	1992
ERR182449	2007
SRR1157525	1992
SRR1157522	1995
