name	date	accession
04x15086	2004	ERR1535343
05x17686	2005	ERR1535344
05x18180	2005	ERR1535345
06x15950	2006	ERR1535346
06x17364	2006	ERR1535347
06x17519	2006	ERR1535348
2127v1	2010	ERR1535349
2146v3	2010	ERR1535350
2189v2	2009	ERR1535351
2219v2	2011	ERR1535352
2402v3	2011	ERR1535353
302280	2003	ERR1535354
302309	2003	ERR1535355
302596	2003	ERR1535356
3141v3	2012	ERR1535357
3464	2011	ERR1535358
400241	2004	ERR1535359
501081	2005	ERR1535360
501825	2005	ERR1535361
502040	2005	ERR1535362
600842	2006	ERR1535363
601172	2006	ERR1535364, ERR1535365
601514	2006	ERR1535366
601585	2006	ERR1535367
601852	2006	ERR1535368
601855	2006	ERR1535369
602200	2006	ERR1535370
602439	2006	ERR1535371
700211	2007	ERR1535372
701501	2007	ERR1535373
701664	2007	ERR1535374
701746	2007	ERR1535375
702296	2007	ERR1535376
703205	2007	ERR1535377
7437v2	2011	ERR1535378
800370	2008	ERR1535379
800903	2008	ERR1535380
B205	2011	ERR1535381
FSxL1	2008	ERR1535382
FSxL117	2011	ERR1535383
FSxL124	2011	ERR1535384
FSxL173	2012	ERR1535385
FSxL18	2009	ERR1535386
FSxL47	2009	ERR1535387
FSxL51	2009	ERR1535388
G125G	2005	ERR1535389
GM12	2005	ERR1535390
I335	2011	ERR1535391
I381	2011	ERR1535392
ISIT1400	2005	ERR1535393
L037	2011	ERR1535394
L043	2011	ERR1535395
L053	2011	ERR1535396
L208	2011	ERR1535397
M257	2005	ERR1535398
M285	2005	ERR1535399
M288	2005	ERR1535400
M326	2005	ERR1535401
M486i2	2005	ERR1535402
M52i1	2005	ERR1535403
M558	2005	ERR1535404
M590i1	2005	ERR1535405
M78	2005	ERR1535406
M81	2005	ERR1535407
N276i2	2011	ERR1535408
N369	2011	ERR1535409
N384i1	2011	ERR1535410
PSA130	2005	ERR1535411, ERR1535412
PSA147	2009	ERR1535413
PSA15	2009	ERR1535414
PSA30	2009	ERR1535415
PSA89	2009	ERR1535416
S166N	2005	ERR1535417, ERR1535418
S43G	2005	ERR1535419
S54G	2005	ERR1535420
S54N	2005	ERR1535421
SAHIV165	2013	ERR1535422, ERR1535423
SAHIV245	2013	ERR1535424, ERR1535425
SAHIV249	2013	ERR1535426
SAHIV315	2013	ERR1535427
ST20081215	2007	ERR1535428
ST20081223	2007	ERR1535429
UM22	2005	ERR1535430
WA101	2008	ERR1535431
WA104	2010	ERR1535432
WA115	2011	ERR1535433
WA16	2006	ERR1535434, ERR1535435
WA5	1989	ERR1535436
WA53	2006	ERR1535437
WA6	2003	ERR1535438, ERR1535439
WA77	2008	ERR1535440
WillieWound	2005	ERR1535441
1264	1961	ERR1588655
1529	1962	ERR1588656
289	1957	ERR1588661
29017	1997	ERR1588662
292	1957	ERR1588663
3098	1967	ERR1588664
3364	1967	ERR1588665
3523	1968	ERR1588666
500511	2005	ERR1588667
5261	1971	ERR1588668
6953	1973	ERR1588669
804	1959	ERR1588670
901	1957	ERR1588671
TT158	2012	ERR1589241
TT165	2012	ERR1589242
TT169	2012	ERR1589243
TT171	2012	ERR1589244
TT224	2012	ERR1589245
TT227	2012	ERR1589246
TT243	2012	ERR1589247
TT255	2012	ERR1589248
TT263	2012	ERR1589249
TT266	2012	ERR1589250
TT267	2012	ERR1589251
TT270	2012	ERR1589252
TT284	2012	ERR1589253
TT293	2012	ERR1589254
TT364	2012	ERR1589255
TT369	2012	ERR1589256
TT374	2012	ERR1589257
USFL002	2009	ERR134781
USFL011	2009	ERR134790
USFL012	2009	ERR134791
USFL013	2008	ERR134792
USFL021	2009	ERR134801
USFL040	2009	ERR134820
USFL047	2009	ERR134827
USFL048	2009	ERR134828
USFL051	2009	ERR134831
USFL060	2009	ERR134840
USFL078	2009	ERR134859
USFL079	2009	ERR134860
USFL092	2009	ERR134873
USFL101	2009	ERR137912
USFL191	2010	ERR134614
USFL214	2010	ERR134638
USFL218	2010	ERR134642
USFL221	2010	ERR134645
USFL225	2010	ERR134649
USFL254	2010	ERR134678
USFL273	2010	ERR134698
USFL312	2011	ERR134738
USFL325	2010	ERR134751
USFL335	2011	ERR134761
LFUU01	2013	LFUU00000000.1
LFUW01	2013	LFUW00000000.1
LFUX01	2013	LFUX00000000.1
LFUY01	2013	LFUY00000000.1
LFUZ01	2013	LFUZ00000000.1
LFVA01	2013	LFVA00000000.1
LFVB01	2013	LFVB00000000.1
LFVC01	2013	LFVC00000000.1
LFVD01	2013	LFVD00000000.1
LFVE01	2013	LFVE00000000.1
LFVF01	2013	LFVF00000000.1
LFVG01	2013	LFVG00000000.1
LFVH01	2013	LFVH00000000.1
LFVI01	2013	LFVI00000000.1
LFVJ01	2013	LFVJ00000000.1
LFVL01	2013	LFVL00000000.1
LFVM01	2013	LFVM00000000.1
LFVN01	2013	LFVN00000000.1
LFVO01	2013	LFVO00000000.1
LFVP01	2013	LFVP00000000.1
LFVQ01	2003	LFVQ00000000.1
M121	2006	PRJNA246311
CA12	2007	PRJNA246373
CA15	2007	PRJNA246386
HUV05	2006	PRJNA246401
C123	2006	PRJNA247361
C1667	2007	PRJNA247376
E396	2006	PRJNA247380
C679	2006	PRJNA247391
C1058	2007	PRJNA247396
C186	2006	PRJNA247398
C329	2006	PRJNA247399
E404	2006	PRJNA247401
M109	2006	PRJNA247403
M120	2006	PRJNA247691
HUV03	2006	PRJNA247773
C2403	2010	PRJNA248081
C1407	2009	PRJNA248085
C1440	2009	PRJNA248096
C1378	2009	PRJNA248097
C1979	2009	PRJNA248138
C1762	2009	PRJNA248140
07-15	2007	PRJNA248183
01-41	2001	PRJNA248186
C2191	2009	PRJNA248187
C1396	2009	PRJNA248192
C1427	2009	PRJNA248193
05-25	2005	PRJNA248197
C2304	2009	PRJNA248198
C1543	2009	PRJNA248199
C2485	2010	PRJNA248203
C1504	2009	PRJNA248206
PE001	2011	PRJNA248207
PE009	2011	PRJNA248210
99-06	1999	PRJNA248216
C1782	2009	PRJNA248217
C1410	2009	PRJNA248227
99-48	1999	PRJNA248228
C1768	2009	PRJNA248229
01-19	2001	PRJNA248230
C1555	2009	PRJNA248233
